00:00.063  reports          | WARNING Unable to open 'C:\Users\yuki_\AppData\Roaming\Blender Foundation\Blender\5.2\config\userpref.blend': Permission denied
Blender 5.2.1 LTS (hash 9e2066aef7ef built 2026-08-25 02:38:20)
Extensions: writing cache failed ([WinError 183] 既に存在するファイルを作成することはできません。: 'C:\\Users\\yuki_\\AppData\\Roaming\\Blender Foundation\\Blender\\5.2\\extensions\\.cache').
11:09:43 | INFO: Data are loaded, start creating Blender stuff
11:09:43 | INFO: Blender create Mesh node 0
11:09:44 | INFO: Blender create Mesh node 1
11:09:44 | INFO: Blender create Mesh node 2
11:09:44 | INFO: Blender create Mesh node 3
11:09:44 | INFO: Blender create Mesh node 4
11:09:45 | INFO: Blender create Mesh node 5
11:09:45 | INFO: Blender create Mesh node 6
11:09:45 | INFO: Blender create Mesh node 7
11:09:45 | INFO: Blender create Mesh node 8
11:09:45 | INFO: Blender create Mesh node 9
11:09:45 | INFO: Blender create Mesh node 10
11:09:46 | INFO: Blender create Mesh node 11
11:09:46 | INFO: Blender create Mesh node 12
11:09:46 | INFO: Blender create Mesh node 13
11:09:46 | INFO: Blender create Mesh node 14
11:09:46 | INFO: Blender create Mesh node 15
11:09:47 | INFO: Blender create Mesh node 16
11:09:47 | INFO: Blender create Mesh node 17
11:09:47 | INFO: Blender create Mesh node 18
11:09:47 | INFO: Blender create Mesh node 19
11:09:47 | INFO: Blender create Mesh node 20
11:09:47 | INFO: Blender create Mesh node 21
11:09:48 | INFO: Blender create Mesh node 22
11:09:48 | INFO: Blender create Mesh node 23
11:09:48 | INFO: Blender create Mesh node 24
11:09:48 | INFO: Blender create Mesh node 25
11:09:48 | INFO: Blender create Mesh node 26
11:09:49 | INFO: Blender create Mesh node 27
11:09:49 | INFO: Blender create Mesh node 28
11:09:49 | INFO: Blender create Mesh node 29
11:09:49 | INFO: Blender create Mesh node 30
11:09:49 | INFO: Blender create Mesh node 31
11:09:50 | INFO: Blender create Mesh node 32
11:09:50 | INFO: Blender create Mesh node 33
11:09:50 | INFO: Blender create Mesh node 34
11:09:50 | INFO: Blender create Mesh node 35
11:09:50 | INFO: Blender create Mesh node 36
11:09:50 | INFO: Blender create Mesh node 37
11:09:51 | INFO: Blender create Mesh node 38
11:09:51 | INFO: Blender create Mesh node 39
11:09:51 | INFO: Blender create Mesh node 40
11:09:51 | INFO: Blender create Mesh node 41
11:09:51 | INFO: Blender create Mesh node 42
11:09:52 | INFO: Blender create Mesh node 43
11:09:52 | INFO: Blender create Mesh node 44
11:09:52 | INFO: Blender create Mesh node 45
11:09:52 | INFO: Blender create Mesh node 46
11:09:52 | INFO: Blender create Mesh node 47
11:09:52 | INFO: Blender create Mesh node 48
11:09:53 | INFO: Blender create Mesh node 49
11:09:53 | INFO: Blender create Mesh node 50
11:09:53 | INFO: Blender create Mesh node 51
11:09:53 | INFO: Blender create Mesh node 52
11:09:53 | INFO: Blender create Mesh node 53
11:09:54 | INFO: Blender create Mesh node 54
11:09:54 | INFO: Blender create Mesh node 55
11:09:54 | INFO: Blender create Mesh node 56
11:09:54 | INFO: Blender create Mesh node 57
11:09:54 | INFO: Blender create Mesh node 58
11:09:54 | INFO: Blender create Mesh node 59
11:09:55 | INFO: Blender create Mesh node 60
11:09:55 | INFO: Blender create Mesh node 61
11:09:55 | INFO: Blender create Mesh node 62
11:09:55 | INFO: Blender create Mesh node 63
11:09:55 | INFO: Blender create Mesh node 64
11:09:56 | INFO: Blender create Mesh node 65
11:09:56 | INFO: Blender create Mesh node 66
11:09:56 | INFO: Blender create Mesh node 67
11:09:56 | INFO: Blender create Mesh node 68
11:09:56 | INFO: Blender create Mesh node 69
11:09:57 | INFO: Blender create Mesh node 70
11:09:57 | INFO: Blender create Mesh node 71
11:09:57 | INFO: Blender create Mesh node 72
11:09:57 | INFO: Blender create Mesh node 73
11:09:57 | INFO: Blender create Mesh node 74
